1,24.45,1,0.432184,0.567816,0.673608,0.326392,0.345684,0.654316,0.238699,0.761301,0.526189,0.473811,0.827347,0.172653
1,19.09,1,0.475965,0.524035,0.847137,0.152863,0.972875,0.027126,0.6042,0.3958,0.947837,0.052163,0.928237,0.071763
1,13.37,1,0.565759,0.434241,0.880287,0.119713,0.989847,0.010153,0.981414,0.018586,0.988249,0.011751,0.960365,0.039635
1,17.78,1,0.552175,0.447825,0.980975,0.019025,0.452926,0.547074,0.60043,0.39957,0.785945,0.214056,0.930865,0.069135
1,33.86,1,0.337966,0.662034,0.163064,0.836936,0.593883,0.406117,0.05884,0.94116,0.000126,0.999874,0.026557,0.973443
1,35.2,1,0.533209,0.466791,0.776256,0.223744,0.400486,0.599514,0.356444,0.643556,0.184858,0.815142,0.457308,0.542692
1,16.93,1,0.006921,0.993079,0.131877,0.868123,0.390519,0.609481,0.999975,0.000025,0.999968,0.000032,0.970857,0.029143
1,9.33,1,0.558619,0.441381,0.658899,0.341101,0.292327,0.707673,0.547565,0.452435,0.386905,0.613095,0.487279,0.512721
1,14.2,1,0.407886,0.592114,0.725305,0.274695,0.623915,0.376086,0.51386,0.486141,0.264832,0.735168,0.970509,0.029491
1,14.2,1,0.480917,0.519083,0.445183,0.554817,0.990691,0.009309,0.696698,0.303302,0.923653,0.076347,0.957612,0.042388
1,21.82,1,0.425308,0.574692,0.004184,0.995816,0.05956,0.94044,0.028168,0.971832,0.151837,0.848163,0.04466,0.95534
1,22.7,1,0.505808,0.494193,0.850613,0.149387,0.574988,0.425013,0.720444,0.279556,0.946643,0.053357,0.188727,0.811273
1,27.81,1,0.513391,0.486609,0.664816,0.335184,0.966363,0.033637,0.862365,0.137635,0.948672,0.051328,0.801223,0.198777
1,20.83,1,0.29547,0.70453,0.913315,0.086685,0.811079,0.188921,0.068792,0.931208,0.791232,0.208768,0.916694,0.083306
2,12.64,1,0.537393,0.462607,0.20423,0.79577,0.486012,0.513988,0.035531,0.964469,0.224848,0.775152,0.223603,0.776397
1,22.64,1,0.414288,0.585712,0.145009,0.854991,0.69791,0.302091,0.104742,0.895258,0.289604,0.710396,0.135256,0.864744
1,31.72,1,0.322094,0.677906,0.03997,0.96003,0.334516,0.665484,0.076499,0.923501,0.041738,0.958262,0.300602,0.699398
1,16.28,1,0.334836,0.665165,0.100003,0.899998,0.223857,0.776144,0.330177,0.669823,0.427493,0.572508,0.29976,0.70024
1,12.24,1,0.344273,0.655727,0.03001,0.969991,0.024449,0.975551,0.043134,0.956866,0.129853,0.870147,0.30669,0.69331
1,12.74,1,0.590979,0.409021,0.682816,0.317184,0.696702,0.303298,0.592427,0.407574,0.857201,0.142799,0.35143,0.64857
